보유기간,총신호수,유니크종목수,승률(%),평균수익률(%),중앙수익률(%),최대수익(%),최대손실(%),SPY평균(%),초과수익평균(%),초과수익승률(%),Sharpe(간이)
20일,13946,2854,51.2,1.15,0.24,3107.5,-81.69,1.06,0.09,43.9,0.17
60일,13078,2846,55.5,4.11,1.77,3115.83,-87.35,2.91,1.21,45.6,0.26
120일,12323,2835,55.1,7.53,2.61,3306.96,-93.32,4.98,2.55,44.1,0.24
