start,strategy,invested,final_value,multiple,end_cash
2000-01-01,A. 정기 DCA,319000,1425681,4.469,0
2000-01-01,B. 단계별 분할 (20/50/80/100),319000,1307490,4.099,18911
2000-01-01,C. 단일 임계값 (-10%),319000,1276190,4.001,16000
2010-01-01,A. 정기 DCA,199000,642434,3.228,0
2010-01-01,B. 단계별 분할 (20/50/80/100),199000,562900,2.829,18911
2010-01-01,C. 단일 임계값 (-10%),199000,590134,2.965,16000
