임계값,트레이드수,유니크종목,+300%도달수,+300%도달률(%),미청산수,평균수익률(%),중앙수익률(%),최대수익(%),최대손실(%),도달까지평균보유일,SPY_3년(%)
100%,20,16,3,15.0,17,12.4,-30.3,300.0,-96.6,101.0,77.8
95%,36,28,4,11.1,32,17.9,-14.1,300.0,-97.0,200.0,77.8
90%,58,39,8,13.8,50,35.1,-8.3,300.0,-97.0,106.0,77.8
